ObjId	ProteinGroup	Concentration	GlycanID	f
1	P_385	0.01	G_226	1.4976987858155945e-06
2	P_385	22.231111111111115	G_226	0.0033185066454721
3	P_385	44.452222222222225	G_226	0.006613583212505024
4	P_385	66.67333333333335	G_226	0.009886944211575271
5	P_385	88.89444444444446	G_226	0.013138803606047746
6	P_385	111.11555555555557	G_226	0.0163693725575827
7	P_385	133.33666666666667	G_226	0.019578859471844103
8	P_385	155.5577777777778	G_226	0.022767470043316123
9	P_385	177.7788888888889	G_226	0.025935407299247832
10	P_385	200.0	G_226	0.029082871642746005
11	P_1	0.01	G_91	0.0011750881316098707
12	P_1	22.231111111111115	G_91	0.7234073324173838
13	P_1	44.452222222222225	G_91	0.8394779360849403
14	P_1	66.67333333333335	G_91	0.8869279886484569
15	P_1	88.89444444444446	G_91	0.912726028178655
16	P_1	111.11555555555557	G_91	0.9289390083043826
17	P_1	133.33666666666667	G_91	0.9400719137035557
18	P_1	155.5577777777778	G_91	0.9481889849104651
19	P_1	177.7788888888889	G_91	0.9543694937697956
20	P_1	200.0	G_91	0.9592326139088729
21	P_2	0.01	G_319	5.6493983390768884e-05
22	P_2	22.231111111111115	G_319	0.11158453610547217
23	P_2	44.452222222222225	G_319	0.20073053129092305
24	P_2	66.67333333333335	G_319	0.2736176848786627
25	P_2	88.89444444444446	G_319	0.33432230835126725
26	P_2	111.11555555555557	G_319	0.38566315984327276
27	P_2	133.33666666666667	G_319	0.4296516686179525
28	P_2	155.5577777777778	G_319	0.46776165879279125
29	P_2	177.7788888888889	G_319	0.5010977103109605
30	P_2	200.0	G_319	0.5305039787798409
31	P_3	0.01	G_238	6.0971891957807455e-05
32	P_3	22.231111111111115	G_238	0.1193737769080235
33	P_3	44.452222222222225	G_238	0.21324897258631076
34	P_3	66.67333333333335	G_238	0.2890378890783504
35	P_3	88.89444444444446	G_238	0.351508095164869
36	P_3	111.11555555555557	G_238	0.40388685158559634
37	P_3	133.33666666666667	G_238	0.44843667671887083
38	P_3	155.5577777777778	G_238	0.4867907733604078
39	P_3	177.7788888888889	G_238	0.5201576067698089
40	P_3	200.0	G_238	0.5494505494505495
41	P_4	0.01	G_225	0.00014923145799134458
42	P_4	22.231111111111115	G_225	0.24914080788962498
43	P_4	44.452222222222225	G_225	0.3988455441793694
44	P_4	66.67333333333335	G_225	0.49877811580469805
45	P_4	88.89444444444446	G_225	0.5702220163215852
46	P_4	111.11555555555557	G_225	0.6238397045613335
47	P_4	133.33666666666667	G_225	0.6655629690021797
48	P_4	155.5577777777778	G_225	0.6989545785863347
49	P_4	177.7788888888889	G_225	0.7262835847317988
50	P_4	200.0	G_225	0.7490636704119851
51	P_5	0.01	G_220	0.0003702332469455757
52	P_5	22.231111111111115	G_220	0.4515663085673016
53	P_5	44.452222222222225	G_220	0.6221251185718507
54	P_5	66.67333333333335	G_220	0.7117642872393425
55	P_5	88.89444444444446	G_220	0.7670293849767509
56	P_5	111.11555555555557	G_220	0.8045115201441627
57	P_5	133.33666666666667	G_220	0.8316043325502588
58	P_5	155.5577777777778	G_220	0.852101617752675
59	P_5	177.7788888888889	G_220	0.8681504712399825
60	P_5	200.0	G_220	0.8810572687224669
61	P_6	0.01	G_222	0.00017853954650955188
62	P_6	22.231111111111115	G_222	0.28417225315305084
63	P_6	44.452222222222225	G_222	0.4425210437244904
64	P_6	66.67333333333335	G_222	0.5435030704852998
65	P_6	88.89444444444446	G_222	0.6135117518500058
66	P_6	111.11555555555557	G_222	0.6649025291880536
67	P_6	133.33666666666667	G_222	0.7042305593211388
68	P_6	155.5577777777778	G_222	0.7352968981418263
69	P_6	177.7788888888889	G_222	0.7604574122746565
70	P_6	200.0	G_222	0.78125
